anios_egresado,trabaja_en_sector,rol_actual,tiempo_empleo,nivel_ingles,frecuencia_ia,impacto_ia,factor_contratacion,ingresos,lenguajes,frameworks,herramientas
4-6 años,Sí,Desarrollo Web Backend,Menos de 3 meses,Fluido / Nativo,Diariamente,Me permite asumir tareas más complejas,Pruebas técnicas,2001-4000,Go,"FastAPI,React / Next.js,Spring Boot","Git,Linux"
1-3 años,Sí,Desarrollo de IA,Menos de 3 meses,Intermedio,Ocasionalmente,Me permite asumir tareas más complejas,Certificaciones externas,1001-2000,No utilizo lenguajes de programación en mi rol actual,Ninguno,"Cisco,Linux,Scrum"
4-6 años,Sí,Desarrollo Web Backend,3-6 meses,Intermedio,Diariamente,Me permite asumir tareas más complejas,Inglés y habilidades blandas,Más de 4000,Java,"FastAPI,Node.js","Jira,Kubernetes"
1-3 años,Sí,DevOps / Cloud,Ya trabajaba antes de graduarme,Intermedio,Ocasionalmente,Me permite resolver más rápido,Experiencia / Portafolio,1001-2000,"Java,SQL","Django / FastAPI,React","GitHub Actions,Kubernetes"
4-6 años,Sí,Desarrollo Web Frontend,Ya trabajaba antes de graduarme,Intermedio,Diariamente,Me permite asumir tareas más complejas,Portafolio,1001-2000,No utilizo lenguajes de programación en mi rol actual,"Angular,React / Next.js,Spring Boot",Ninguna
4-6 años,Sí,Desarrollo Web Frontend,Menos de 3 meses,Intermedio,Diariamente,No ha tenido impacto significativo,Experiencia / Portafolio,500-1000,C,Ninguno,"Docker,Git"
1-3 años,Sí,Gestión de Proyectos,3-6 meses,Intermedio,Diariamente,No ha tenido impacto significativo,Pruebas técnicas,500-1000,"C++,Go,Python","FastAPI,React","Kubernetes,Scrum"
4-6 años,Sí,Desarrollo Web Backend,Menos de 3 meses,Avanzado,Diariamente,Me permite resolver más rápido,Experiencia / Portafolio,1001-2000,JavaScript / TypeScript,"FastAPI,Node.js",GitHub Actions
4-6 años,Sí,Ciencia de Datos / Analítica,3-6 meses,Intermedio,Diariamente,Me permite asumir tareas más complejas,Pruebas técnicas,2001-4000,"Python,SQL","FastAPI,Node.js,Spring Boot",Cisco
4-6 años,Sí,Desarrollo Web Backend,Ya trabajaba antes de graduarme,Avanzado,Diariamente,Me permite asumir tareas más complejas,Pruebas técnicas,2001-4000,C,"Django / FastAPI,FastAPI","Docker,GitHub"
Menos de 1 año,Sí,Ciencia de Datos / Analítica,Menos de 3 meses,Avanzado,Diariamente,Me permite resolver más rápido,Portafolio,Más de 4000,No utilizo lenguajes de programación en mi rol actual,"Django / FastAPI,FastAPI,Node.js","Cisco,Git,Linux"
Menos de 1 año,Sí,Desarrollo Web Backend,Menos de 3 meses,Avanzado,Diariamente,Me permite resolver más rápido,Pruebas técnicas,500-1000,No utilizo lenguajes de programación en mi rol actual,"Node.js,React / Next.js",Kubernetes
1-3 años,Sí,Desarrollo Web Backend,3-6 meses,Avanzado,Diariamente,Me permite resolver más rápido,Inglés y habilidades blandas,500-1000,"Python,SQL","Node.js,React / Next.js","GitHub,Terraform"
Menos de 1 año,Sí,Desarrollo Web Fullstack,Más de un año,Fluido / Nativo,Ocasionalmente,Me permite asumir tareas más complejas,Inglés y habilidades blandas,1001-2000,No utilizo lenguajes de programación en mi rol actual,"Django / FastAPI,Node.js","Confluence,Git"
Menos de 1 año,Sí,Desarrollo de IA,Menos de 3 meses,Intermedio,Ocasionalmente,Me permite resolver más rápido,Inglés y habilidades blandas,500-1000,No utilizo lenguajes de programación en mi rol actual,"React,Spring Boot","GitHub,Jira"
1-3 años,Sí,Ciberseguridad,Menos de 3 meses,Fluido / Nativo,Diariamente,Me permite resolver más rápido,Experiencia / Portafolio,500-1000,"JavaScript / TypeScript,Python","Angular,Django / FastAPI","GitHub Actions,Jira,Linux"
1-3 años,Sí,Ciberseguridad,Menos de 3 meses,Básico,Diariamente,Me permite asumir tareas más complejas,Pruebas técnicas,1001-2000,"Go,Java",Spring Boot,Scrum
1-3 años,No,,Ya trabajaba antes de graduarme,Intermedio,Ocasionalmente,Me permite resolver más rápido,Experiencia / Portafolio,500-1000,"C,SQL",React / Next.js,"Jira,Scrum"
4-6 años,Sí,Desarrollo de IA,Menos de 3 meses,Intermedio,Diariamente,Me permite asumir tareas más complejas,Pruebas técnicas,1001-2000,C,React / Next.js,"Git,GitHub"
Menos de 1 año,Sí,DevOps / Cloud,Ya trabajaba antes de graduarme,Avanzado,Ocasionalmente,Me permite asumir tareas más complejas,Inglés y habilidades blandas,2001-4000,"C,Go",Django / FastAPI,Cisco
Más de 6 años,Sí,Desarrollo Web Backend,Menos de 3 meses,Fluido / Nativo,Ocasionalmente,Me permite asumir tareas más complejas,Portafolio,1001-2000,"Java,JavaScript / TypeScript,SQL","Angular,Django / FastAPI,React / Next.js","AWS,GitHub,Linux"
Menos de 1 año,No,,3-6 meses,Avanzado,Ocasionalmente,Me permite asumir tareas más complejas,Experiencia / Portafolio,2001-4000,C,"React,React / Next.js","GitHub Actions,Jira,Scrum"
1-3 años,Sí,Desarrollo Web Frontend,3-6 meses,Avanzado,Diariamente,Me permite asumir tareas más complejas,Pruebas técnicas,1001-2000,"C++,Go,Java","FastAPI,React,Spring Boot","Jira,Linux,Scrum"
Menos de 1 año,Sí,Redes / Infraestructura,Más de un año,Intermedio,Diariamente,Me permite resolver más rápido,Experiencia / Portafolio,2001-4000,"C++,Go,JavaScript / TypeScript",Django / FastAPI,Ninguna
Menos de 1 año,No,,Menos de 3 meses,Avanzado,Diariamente,Me permite asumir tareas más complejas,Certificaciones externas,1001-2000,"Go,Python",Ninguno,"Cisco,Docker"
Más de 6 años,Sí,Desarrollo Web Backend,Menos de 3 meses,Intermedio,Diariamente,Me permite asumir tareas más complejas,Portafolio,500-1000,SQL,FastAPI,"AWS,Cisco,GitHub,Scrum"
4-6 años,Sí,Desarrollo Web Fullstack,3-6 meses,Fluido / Nativo,Ocasionalmente,No ha tenido impacto significativo,Experiencia / Portafolio,Más de 4000,No utilizo lenguajes de programación en mi rol actual,"FastAPI,React","Confluence,Git,Kubernetes"
1-3 años,Sí,Desarrollo Web Fullstack,Menos de 3 meses,Intermedio,Diariamente,Me permite resolver más rápido,Pruebas técnicas,Más de 4000,"C,C++,Go","Node.js,Spring Boot",Kubernetes
1-3 años,Sí,Ciencia de Datos / Analítica,3-6 meses,Avanzado,Ocasionalmente,Me permite resolver más rápido,Experiencia / Portafolio,2001-4000,"Go,SQL",Spring Boot,"Linux,Terraform"
4-6 años,Sí,Desarrollo Web Backend,Ya trabajaba antes de graduarme,Avanzado,Ocasionalmente,No ha tenido impacto significativo,Portafolio,2001-4000,"Java,Python",Angular,"AWS,Docker"
1-3 años,No,,Más de un año,Intermedio,Ocasionalmente,Me permite resolver más rápido,Inglés y habilidades blandas,500-1000,C++,"FastAPI,React / Next.js","Docker,Linux,Scrum"
4-6 años,Sí,Desarrollo Web Frontend,3-6 meses,Básico,Diariamente,Me permite resolver más rápido,Portafolio,1001-2000,Go,"Angular,Spring Boot","Confluence,Docker"
1-3 años,Sí,Desarrollo de IA,Ya trabajaba antes de graduarme,Intermedio,Ocasionalmente,Me permite asumir tareas más complejas,Pruebas técnicas,500-1000,"C++,JavaScript / TypeScript",Django / FastAPI,"Confluence,Jira"
Menos de 1 año,Sí,DevOps / Cloud,3-6 meses,Intermedio,Ocasionalmente,Tendrá un impacto menor,Portafolio,1001-2000,"Go,JavaScript / TypeScript,Python",Spring Boot,"Cisco,Git"
Más de 6 años,Sí,Desarrollo Web Backend,Menos de 3 meses,Avanzado,Nunca,Me permite asumir tareas más complejas,Experiencia / Portafolio,1001-2000,"Go,Java,JavaScript / TypeScript","React / Next.js,Spring Boot","AWS,Docker,Jira,Linux"
4-6 años,No,,Ya trabajaba antes de graduarme,Intermedio,Diariamente,Me permite asumir tareas más complejas,Pruebas técnicas,500-1000,Python,"Angular,Django / FastAPI",Terraform
4-6 años,Sí,Ciencia de Datos / Analítica,3-6 meses,Intermedio,Ocasionalmente,Me permite asumir tareas más complejas,Certificaciones externas,Más de 4000,"C++,Python","Angular,Node.js",Terraform
4-6 años,Sí,Desarrollo Web Backend,3-6 meses,Intermedio,Nunca,Me permite resolver más rápido,Certificaciones externas,Más de 4000,C,"Django / FastAPI,FastAPI,React",Linux
Menos de 1 año,Sí,Redes / Infraestructura,Menos de 3 meses,Intermedio,Diariamente,Me permite resolver más rápido,Experiencia / Portafolio,2001-4000,C,"Angular,Node.js","Confluence,GitHub Actions,Jira"
1-3 años,Sí,Ciencia de Datos / Analítica,Ya trabajaba antes de graduarme,Intermedio,Diariamente,Tendrá un impacto menor,Certificaciones externas,Más de 4000,C,"FastAPI,Node.js,React / Next.js",GitHub Actions
1-3 años,Sí,Desarrollo Web Fullstack,Menos de 3 meses,Intermedio,Diariamente,Me permite resolver más rápido,Inglés y habilidades blandas,1001-2000,Go,"Angular,FastAPI,React","Cisco,Git"
1-3 años,Sí,DevOps / Cloud,Ya trabajaba antes de graduarme,Fluido / Nativo,Diariamente,Me permite resolver más rápido,Inglés y habilidades blandas,1001-2000,"C,JavaScript / TypeScript",Spring Boot,"AWS,Cisco"
1-3 años,Sí,Desarrollo de IA,Ya trabajaba antes de graduarme,Avanzado,Ocasionalmente,No ha tenido impacto significativo,Experiencia / Portafolio,2001-4000,No utilizo lenguajes de programación en mi rol actual,"Angular,React",Kubernetes
Menos de 1 año,Sí,Desarrollo Web Fullstack,Más de un año,Fluido / Nativo,Diariamente,Me permite resolver más rápido,Experiencia / Portafolio,2001-4000,"C,Python","FastAPI,React / Next.js","Confluence,GitHub,Jira"
1-3 años,Sí,DevOps / Cloud,Menos de 3 meses,Fluido / Nativo,Ocasionalmente,Me permite resolver más rápido,Inglés y habilidades blandas,Más de 4000,"C,Python",Node.js,Cisco
1-3 años,Sí,Redes / Infraestructura,Más de un año,Intermedio,Ocasionalmente,No ha tenido impacto significativo,Certificaciones externas,500-1000,"JavaScript / TypeScript,SQL","Angular,Spring Boot","GitHub Actions,Linux,Scrum"
4-6 años,Sí,Desarrollo Web Fullstack,Menos de 3 meses,Avanzado,Nunca,No ha tenido impacto significativo,Experiencia / Portafolio,2001-4000,"C++,JavaScript / TypeScript,Python",React,Docker
4-6 años,Sí,DevOps / Cloud,Menos de 3 meses,Fluido / Nativo,Nunca,Me permite resolver más rápido,Portafolio,2001-4000,"C,C++","Angular,FastAPI",GitHub Actions
1-3 años,Sí,Desarrollo Web Frontend,3-6 meses,Intermedio,Diariamente,Me permite asumir tareas más complejas,Inglés y habilidades blandas,2001-4000,No utilizo lenguajes de programación en mi rol actual,"React,React / Next.js","Jira,Kubernetes,Terraform"
4-6 años,Sí,Desarrollo de IA,Ya trabajaba antes de graduarme,Avanzado,Diariamente,Tendrá un impacto menor,Experiencia / Portafolio,2001-4000,"C,Java,SQL","Django / FastAPI,FastAPI","Jira,Scrum"
1-3 años,No,,Menos de 3 meses,Avanzado,Diariamente,Me permite asumir tareas más complejas,Inglés y habilidades blandas,500-1000,Python,Ninguno,Ninguna
Menos de 1 año,Sí,DevOps / Cloud,3-6 meses,Fluido / Nativo,Diariamente,Me permite resolver más rápido,Pruebas técnicas,2001-4000,No utilizo lenguajes de programación en mi rol actual,Django / FastAPI,GitHub
1-3 años,Sí,Desarrollo Web Fullstack,Ya trabajaba antes de graduarme,Avanzado,Ocasionalmente,Me permite asumir tareas más complejas,Pruebas técnicas,500-1000,Java,"FastAPI,React,Spring Boot","Confluence,Docker,GitHub Actions"
1-3 años,Sí,DevOps / Cloud,Más de un año,Intermedio,Diariamente,No ha tenido impacto significativo,Portafolio,1001-2000,"C,Java","Node.js,React / Next.js","Cisco,Jira"
Menos de 1 año,Sí,DevOps / Cloud,Menos de 3 meses,Intermedio,Diariamente,Me permite resolver más rápido,Pruebas técnicas,500-1000,No utilizo lenguajes de programación en mi rol actual,"Django / FastAPI,React","AWS,Cisco,Git"
1-3 años,Sí,Desarrollo Web Backend,Menos de 3 meses,Fluido / Nativo,Ocasionalmente,Me permite resolver más rápido,Portafolio,2001-4000,"JavaScript / TypeScript,SQL","FastAPI,Spring Boot","Docker,GitHub Actions,Jira,Linux"
1-3 años,Sí,DevOps / Cloud,Ya trabajaba antes de graduarme,Fluido / Nativo,Diariamente,No ha tenido impacto significativo,Pruebas técnicas,500-1000,"C++,SQL","Angular,React / Next.js",Ninguna
4-6 años,No,,Menos de 3 meses,Básico,Diariamente,Me permite resolver más rápido,Pruebas técnicas,2001-4000,Go,"Node.js,React",Linux
1-3 años,Sí,DevOps / Cloud,3-6 meses,Intermedio,Ocasionalmente,Me permite resolver más rápido,Certificaciones externas,1001-2000,No utilizo lenguajes de programación en mi rol actual,"Angular,Django / FastAPI",Cisco
1-3 años,Sí,Desarrollo Web Backend,Menos de 3 meses,Fluido / Nativo,Diariamente,Me permite resolver más rápido,Portafolio,Más de 4000,No utilizo lenguajes de programación en mi rol actual,React / Next.js,"Docker,Scrum"
4-6 años,No,,3-6 meses,Intermedio,Ocasionalmente,Me permite resolver más rápido,Portafolio,2001-4000,"Go,JavaScript / TypeScript,SQL",Ninguno,"Cisco,GitHub,GitHub Actions"
4-6 años,Sí,Ciberseguridad,Menos de 3 meses,Intermedio,Ocasionalmente,No ha tenido impacto significativo,Pruebas técnicas,Más de 4000,C,"Django / FastAPI,FastAPI,Spring Boot","GitHub,GitHub Actions"
1-3 años,Sí,DevOps / Cloud,Menos de 3 meses,Intermedio,Diariamente,Me permite asumir tareas más complejas,Experiencia / Portafolio,2001-4000,No utilizo lenguajes de programación en mi rol actual,"Django / FastAPI,React / Next.js","Kubernetes,Scrum"
1-3 años,Sí,Ciencia de Datos / Analítica,Más de un año,Intermedio,Ocasionalmente,Me permite asumir tareas más complejas,Pruebas técnicas,2001-4000,"C++,Java","FastAPI,Node.js","GitHub,Scrum"
Menos de 1 año,Sí,Desarrollo de IA,Menos de 3 meses,Básico,Diariamente,Me permite resolver más rápido,Experiencia / Portafolio,1001-2000,"Go,SQL",React,"GitHub,Linux"
Más de 6 años,Sí,DevOps / Cloud,3-6 meses,Básico,Ocasionalmente,Me permite resolver más rápido,Pruebas técnicas,1001-2000,"C++,Python","Django / FastAPI,FastAPI","AWS,Confluence"
Más de 6 años,No,,3-6 meses,Fluido / Nativo,Diariamente,Me permite asumir tareas más complejas,Pruebas técnicas,1001-2000,"C++,Java,JavaScript / TypeScript",Angular,"Git,GitHub,Jira,Terraform"
4-6 años,Sí,Desarrollo Web Backend,3-6 meses,Intermedio,Ocasionalmente,Me permite resolver más rápido,Experiencia / Portafolio,1001-2000,"Python,SQL",Spring Boot,"Docker,Jira,Kubernetes"
4-6 años,Sí,Desarrollo Web Frontend,Ya trabajaba antes de graduarme,Avanzado,Ocasionalmente,No ha tenido impacto significativo,Pruebas técnicas,Más de 4000,Python,"FastAPI,Spring Boot","Cisco,Docker,Kubernetes,Scrum"
1-3 años,Sí,DevOps / Cloud,Menos de 3 meses,Intermedio,Diariamente,Me permite resolver más rápido,Experiencia / Portafolio,2001-4000,"Java,SQL","Angular,Django / FastAPI,React / Next.js","GitHub,GitHub Actions,Jira,Scrum"
Más de 6 años,Sí,Desarrollo Web Frontend,3-6 meses,Avanzado,Diariamente,Me permite asumir tareas más complejas,Experiencia / Portafolio,1001-2000,"Go,JavaScript / TypeScript",React,"Confluence,GitHub,Terraform"
1-3 años,Sí,Desarrollo Web Frontend,Menos de 3 meses,Avanzado,Diariamente,Me permite asumir tareas más complejas,Experiencia / Portafolio,2001-4000,"C++,Java",React / Next.js,"AWS,Scrum"
1-3 años,Sí,Desarrollo Web Frontend,Menos de 3 meses,Intermedio,Nunca,Tendrá un impacto menor,Inglés y habilidades blandas,1001-2000,JavaScript / TypeScript,Ninguno,Ninguna
1-3 años,Sí,Desarrollo de IA,Menos de 3 meses,Intermedio,Diariamente,Me permite asumir tareas más complejas,Certificaciones externas,2001-4000,"Java,Python",React,Docker
4-6 años,Sí,Desarrollo Web Fullstack,Ya trabajaba antes de graduarme,Intermedio,Diariamente,Me permite resolver más rápido,Experiencia / Portafolio,Más de 4000,"C,Python","Node.js,React",Cisco
Menos de 1 año,Sí,Desarrollo Web Backend,3-6 meses,Básico,Diariamente,Me permite asumir tareas más complejas,Experiencia / Portafolio,Más de 4000,"C,Python,SQL","Angular,Node.js","AWS,Git,GitHub Actions"
1-3 años,Sí,Ciencia de Datos / Analítica,Más de un año,Básico,Diariamente,Me permite resolver más rápido,Inglés y habilidades blandas,1001-2000,"C++,Java",FastAPI,Ninguna
1-3 años,Sí,DevOps / Cloud,3-6 meses,Avanzado,Diariamente,Me permite resolver más rápido,Experiencia / Portafolio,2001-4000,Go,Ninguno,Ninguna
1-3 años,Sí,Ciencia de Datos / Analítica,3-6 meses,Intermedio,Diariamente,Me permite resolver más rápido,Portafolio,1001-2000,No utilizo lenguajes de programación en mi rol actual,"FastAPI,Node.js","Cisco,Confluence,GitHub,Scrum"
Menos de 1 año,Sí,Desarrollo de IA,Más de un año,Avanzado,Diariamente,No ha tenido impacto significativo,Pruebas técnicas,1001-2000,"C,JavaScript / TypeScript","Django / FastAPI,Spring Boot","Confluence,Jira"
4-6 años,Sí,Desarrollo Web Backend,Ya trabajaba antes de graduarme,Intermedio,Diariamente,Me permite resolver más rápido,Inglés y habilidades blandas,500-1000,No utilizo lenguajes de programación en mi rol actual,"Angular,Node.js,Spring Boot",GitHub Actions
1-3 años,Sí,Desarrollo Web Fullstack,Menos de 3 meses,Básico,Diariamente,Me permite resolver más rápido,Portafolio,500-1000,"C++,SQL",Ninguno,"Cisco,Confluence"
Menos de 1 año,Sí,Desarrollo Web Fullstack,Ya trabajaba antes de graduarme,Intermedio,Diariamente,Me permite resolver más rápido,Pruebas técnicas,2001-4000,"C,SQL","FastAPI,React / Next.js","Git,Kubernetes"
4-6 años,No,,Menos de 3 meses,Avanzado,Diariamente,Me permite resolver más rápido,Pruebas técnicas,1001-2000,"C,JavaScript / TypeScript",FastAPI,"AWS,GitHub,GitHub Actions,Linux"
Menos de 1 año,Sí,Desarrollo Web Fullstack,Ya trabajaba antes de graduarme,Avanzado,Diariamente,Me permite asumir tareas más complejas,Experiencia / Portafolio,500-1000,"C,Python",Node.js,Ninguna
Menos de 1 año,No,,Menos de 3 meses,Avanzado,Diariamente,Me permite asumir tareas más complejas,Certificaciones externas,2001-4000,"C++,Java,JavaScript / TypeScript",Ninguno,"Git,GitHub,Kubernetes"
4-6 años,Sí,Ciencia de Datos / Analítica,Más de un año,Fluido / Nativo,Diariamente,Me permite asumir tareas más complejas,Experiencia / Portafolio,500-1000,"C,SQL",Ninguno,"Docker,Git,Linux,Scrum"
4-6 años,Sí,DevOps / Cloud,3-6 meses,Básico,Diariamente,No ha tenido impacto significativo,Portafolio,2001-4000,No utilizo lenguajes de programación en mi rol actual,"Angular,Node.js",Ninguna
1-3 años,Sí,DevOps / Cloud,3-6 meses,Intermedio,Ocasionalmente,Me permite asumir tareas más complejas,Pruebas técnicas,1001-2000,"Go,JavaScript / TypeScript,Python",React / Next.js,Docker
Menos de 1 año,Sí,Desarrollo Web Fullstack,Ya trabajaba antes de graduarme,Intermedio,Diariamente,Me permite resolver más rápido,Inglés y habilidades blandas,2001-4000,Python,Ninguno,"Cisco,Git"
Menos de 1 año,Sí,Desarrollo de IA,Más de un año,Intermedio,Diariamente,Me permite asumir tareas más complejas,Pruebas técnicas,500-1000,"Go,SQL","Angular,Node.js","Docker,Scrum"
1-3 años,Sí,Desarrollo Web Frontend,3-6 meses,Intermedio,Diariamente,Me permite asumir tareas más complejas,Portafolio,Más de 4000,"C++,Go,Java","React,Spring Boot","AWS,Git"
4-6 años,Sí,Ciberseguridad,Más de un año,Avanzado,Ocasionalmente,Me permite asumir tareas más complejas,Portafolio,2001-4000,SQL,Angular,"Git,GitHub,GitHub Actions"
Más de 6 años,Sí,Desarrollo Web Backend,3-6 meses,Avanzado,Ocasionalmente,No ha tenido impacto significativo,Pruebas técnicas,1001-2000,Python,"Django / FastAPI,Node.js","GitHub,Jira,Linux"
1-3 años,Sí,Desarrollo Web Backend,Más de un año,Básico,Diariamente,Me permite resolver más rápido,Experiencia / Portafolio,500-1000,"Python,SQL",Spring Boot,"AWS,Confluence,Jira"
Menos de 1 año,Sí,Ciberseguridad,Ya trabajaba antes de graduarme,Intermedio,Diariamente,Me permite resolver más rápido,Portafolio,1001-2000,"C++,Go,Python","Angular,FastAPI,Node.js",Ninguna
1-3 años,Sí,Gestión de Proyectos,Menos de 3 meses,Fluido / Nativo,Ocasionalmente,Me permite asumir tareas más complejas,Inglés y habilidades blandas,500-1000,Go,Angular,"Confluence,Git,Kubernetes,Scrum"
1-3 años,Sí,Redes / Infraestructura,Ya trabajaba antes de graduarme,Avanzado,Diariamente,Me permite asumir tareas más complejas,Inglés y habilidades blandas,1001-2000,Go,"FastAPI,React","Docker,Linux"
Menos de 1 año,Sí,Gestión de Proyectos,Ya trabajaba antes de graduarme,Avanzado,Ocasionalmente,Me permite resolver más rápido,Pruebas técnicas,1001-2000,"C++,Python,SQL",FastAPI,"Confluence,GitHub Actions"
4-6 años,Sí,Desarrollo Web Fullstack,3-6 meses,Avanzado,Ocasionalmente,Me permite asumir tareas más complejas,Pruebas técnicas,1001-2000,"C,Python",Ninguno,"Cisco,Git,Terraform"
4-6 años,No,,Más de un año,Básico,Ocasionalmente,Me permite asumir tareas más complejas,Experiencia / Portafolio,500-1000,"Go,JavaScript / TypeScript","FastAPI,Node.js","GitHub,GitHub Actions,Linux,Terraform"
4-6 años,Sí,DevOps / Cloud,3-6 meses,Avanzado,Diariamente,Me permite resolver más rápido,Certificaciones externas,1001-2000,"C++,JavaScript / TypeScript",Spring Boot,"GitHub,Terraform"
1-3 años,Sí,DevOps / Cloud,Más de un año,Intermedio,Ocasionalmente,Me permite asumir tareas más complejas,Pruebas técnicas,Más de 4000,"JavaScript / TypeScript,Python,SQL",Ninguno,"AWS,Confluence,Docker,GitHub"
4-6 años,Sí,Ciencia de Datos / Analítica,3-6 meses,Avanzado,Diariamente,Me permite resolver más rápido,Certificaciones externas,1001-2000,No utilizo lenguajes de programación en mi rol actual,Spring Boot,"AWS,Git,Linux"
4-6 años,Sí,Desarrollo Web Backend,Más de un año,Avanzado,Diariamente,Me permite resolver más rápido,Pruebas técnicas,1001-2000,"C,Go","Django / FastAPI,FastAPI,Spring Boot","AWS,Docker"
Menos de 1 año,Sí,Desarrollo Web Fullstack,Menos de 3 meses,Fluido / Nativo,Ocasionalmente,Me permite resolver más rápido,Certificaciones externas,1001-2000,Go,Node.js,"Cisco,Confluence,Docker"
